No. Polisi;No. Kontainer;JIIPE Pass;CustomsPass;PortPass;Nama Perusahaan;Aktivitas;Waktu Masuk;Waktu Keluar;Status
W8082QD;-;-;-;-;-;-;09/12/2025, 08.51;-;Berlangsung
W8082QD;-;-;-;-;-;-;09/12/2025, 08.51;-;Berlangsung
B9403SD;YMMU6201859;TKT-43258638;002207/KBC.1104/2025;-;HAILIANG NOVA MATERIAL INDONESIA;-;09/12/2025, 08.17;-;Berlangsung
B9051JEH;-;TKT-75426301;-;-;HAILIANG NOVA MATERIAL INDONESIA;Muat;09/12/2025, 08.15;09/12/2025, 08.15;Selesai
L8679UUC;TCLU6975666;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 08.05;-;Berlangsung
L8009UCB;MSBU5593909;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 08.03;-;Berlangsung
L9248UD;CMAU4981882;TKT-66139117;002167/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;09/12/2025, 07.54;-;Berlangsung
W9531UC;MSDU2679420;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 07.47;-;Berlangsung
L8680UUC;SEGU2788708;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 07.44;-;Berlangsung
L8359UG;MSDU1427173;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 07.43;-;Berlangsung
L8036UCC;MEDU6536708;TKT-39186736;002229/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 06.01;-;Berlangsung
L8009UGB;MSBU5593909;TKT-19801020;002216/KBC.1104/2025;-;XINYI SOLAR INDONESIA;-;09/12/2025, 05.36;-;Berlangsung
B9248UD;CMAU4981882;TKT-66139117;002167/KBC.1104/2025;-;XINYI GLASS INDONESIA;-;09/12/2025, 05.35;-;Berlangsung
