police_number;document_number;ticket_access_number;vehicle_type;company_name;status
W8082QD;-;-;container;-;Ditolak
W8082QD;-;-;container;-;Ditolak
B9403SD;002207/KBC.1104/2025;TKT-43258638;dumptruck;HAILIANG NOVA MATERIAL INDONESIA;Disetujui
L8679UUC;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Disetujui
L8036UCC;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Disetujui
L8009UCB;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
B9248UD;002167/KBC.1104/2025;TKT-66139117;container;XINYI GLASS INDONESIA;Disetujui
L9248UD;002167/KBC.1104/2025;TKT-66139117;container;XINYI GLASS INDONESIA;Ditolak
W9531UC;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Disetujui
L8680UUC;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Disetujui
L8359UG;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Disetujui
L8009UGB;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L8660UUC;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Disetujui
-;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Ditolak
W6543GI;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Ditolak
L8010UCB;002229/KBC.1104/2025;TKT-39186736;container;XINYI SOLAR INDONESIA;Disetujui
L8482UZ;-;-;container;-;Ditolak
W8869PK;-;-;container;-;Ditolak
W9332UJ;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
W8417UD;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
W9534UC;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L9022UT;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L9976BX;002209/KBC.1104/2025;TKT-51574683;container;XINYI SOLAR INDONESIA;Disetujui
B9692UEJ;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
L9941UM;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
L9079UC;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
L8981US;004968/KBC.1104/2025;TKT-69320980;container;-;Disetujui
B9312SEH;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
H9606PA;002209/KBC.1104/2025;TKT-51574683;container;XINYI SOLAR INDONESIA;Disetujui
B9843PEH;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
G8577OF;004968/KBC.1104/2025;TKT-69320980;container;-;Disetujui
B9354KEU;004968/KBC.1104/2025;TKT-69320980;container;HAILIANG NOVA MATERIAL INDONESIA;Disetujui
L8036UCC;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L8679UUC;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L8062UCC;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L8704UUC;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L8010UCB;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L8996US;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
L8415UP;005048/KBC.1104/2025;TKT-73607048;container;HAILIANG NOVA MATERIAL INDONESIA;Disetujui
L8785ND;005048/KBC.1104/2025;TKT-73607048;container;HAILIANG NOVA MATERIAL INDONESIA;Disetujui
L8541UCD;002218/KBC.1104/2025;TKT-10322880;container;XINYI GLASS INDONESIA;Disetujui
K1630VB;-;-;container;-;Ditolak
L9385UX;002210/KBC.1104/2025;TKT-38094586;container;XINYI SOLAR INDONESIA;Disetujui
B9930UEM;002210/KBC.1104/2025;TKT-38094586;container;XINYI SOLAR INDONESIA;Disetujui
L9250UD;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
L8357NH;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
L8020UGB;002216/KBC.1104/2025;TKT-19801020;container;XINYI SOLAR INDONESIA;Disetujui
B9632PEU;004968/KBC.1104/2025;TKT-69320980;container;HAILIANG NOVA MATERIAL INDONESIA;Disetujui
L8128YN;002209/KBC.1104/2025;TKT-51574683;container;XINYI SOLAR INDONESIA;Disetujui
B9326UEW;-;-;container;-;Ditolak
L8272UDD;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
B9632PEU;-;-;container;-;Ditolak
B9632PEU;-;-;container;-;Disetujui
B9632PEU;-;-;container;-;Disetujui
B9147UIX;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
B9632PEU;004968/KBC.1104/2025;TKT-69320980;container;HAILIANG NOVA MATERIAL INDONESIA;Disetujui
B9632PEU;-;-;container;-;Disetujui
B9632PEU;-;-;container;-;Disetujui
B9152UIX;002180/KBC.1104/2025;TKT-19035860;container;XINYI GLASS INDONESIA;Disetujui
L8647UZ;004968/KBC.1104/2025;TKT-69320980;container;HAILIANG NOVA MATERIAL INDONESIA;Disetujui
